一,one
蔽,shelter
憋,suppress
撇,cast aside
弊,fraud
莱,lambsquarters
搂,cuddle
筑,construct
箩,bamboo basket
笨,stupid
筒,tube
筛,sift
筋,tendon
伍,V
仇,animosity
倡,start
伯,father’s older brother
仲,mid-
仆,servant
估,estimate
侦,detect
俱,altogether
佑,bless
佐,assistant
侧,lateral
亿,one hundred million
仔,meticulous
倚,count on
俏,comely
佳,superb
侍,serve
伙,mate
倘,if
宿,stay overnight
伏,bend over
袱,wrapping cloth
偷,steal
偿,repay
伐,fell
佩,wear at the waist
侨,live abroad
倾,incline
伦,human relationships
侮,insult
倍,times
仿,mimic
傲,haughty
僧,Buddhist monk
囚,prisoner
悠,without haste
侄,nephew
仙,immortal
傍,close to
催,prod
俗,custom
侠,chivalrous person
俄,Russia
聚,assemble
符,symbol
贷,loan
荷,Holland
杖,cane
仗,battle
丛,thicket
耸,shrug
挫,frustrate
诬,charge falsely
葛,kudzu
褐,brown
竭,use up
歇,take a rest
揭,reveal
淫,promiscuous
凭,proof
挺,erect
赎,redeem
瓦,tile
瓷,porcelain
拟,simulate
瓶,bottle
宫,palace
铝,aluminum
萤,firefly
莹,lustrous
蒙,Mongolia
朦,dim
捞,scoop up
旋,whirl
吻,kiss
匆,hurriedly
葱,onion
锡,tin
惕,watchful
卢,Louvre
屉,drawer
屑,bits
尿,urine
犀,rhinoceros
迟,tardy
漏,leak
屁,fart
屈,knuckle under
掘,excavate
履,footwear
屎,excrement
屡,time and again
屏,folding screen
眉,eyebrows
媚,flatter
昼,daylight
启,enlighten
肩,shoulder
妒,jealous of
炉,stove
芦,reeds
扇,fan
奈,can’t help but
款,funds
凛,chilly
祟,evil spirit
祝,wish well
祥,propitious
尉,Cardinal Richelieu
蔚,luxuriant
慰,console
蒜,garlic
棕,palm tree
宙,universe
轴,axle
袖,sleeve
庙,temple
笛,flute
届,fall due
呻,groan
坤,female
审,painstaking
婶,auntie
畅,smooth
巢,nest
棵,flora
裸,naked
裹,envelop
析,analyze
晰,distinct
芹,celery
祈,supplicate
欣,elated
掀,uncover
惭,conscience-stricken
崭,towering
浙,Zhejian Province
誓,vow
拆,take apart
炸,blow up
诈,swindle
归,come back
刍,hairnet
皱,wrinkles
煞,goblin
趋,hasten
雏,chick
囧浸－氵,dunce
浸,immerse
寝,get some shuteye
侵,invade
彑,whisk broom
缘,reason
稳,stable
挡,fend off
剥,peel off
秉,wield
妻,wife
凄,miserable
捷,nimble
肃,solemn
啸,howl
萧,desolate
兼,double
赚,earn
嫌,dislike
谦,unassuming
歉,apology
廉,inexpensive
镰,sickle
睁,unshut
挣,struggle
筝,Chinese zither
塘,pool
隶,bondservant
逮,arrest
慷,generous
糠,chaff
笋,bamboo shoot
耍,mess around
耐,-proof
喘,wheeze
揣,conjecture
囧曹,cadet
槽,trough
遭,meet with
糟,messed up
抖,quiver
惜,rue
措,arrange
腊,dried meat
蜡,wax
猎,hunt
燕,swallow
遮,screen
畔,littoral
拌,blend
叛,betray
券,voucher
藤,rattan
鼎,old cooking pot
芝,sesame
贬,devalue
泛,nonspecific
歪,askew
矫,rectify
矮,short of stature
矣,crossbow
唉,sigh-ay-ay
埃,fine dust
挨,suffer
簇,cluster
茅,thatch
橘,tangerine
舒,relax
览,view
揽,take on
肾,kidneys
竖,perpendicular
弘,noble
夷,barbarian
姨,maternal aunt
畺,family feud
疆,dividing line
僵,stiff
粥,porridge
蝉,cicada
禅,meditation
沸,bring to a boil
拂,caress
剃,shave
递,hand over
梯,ladder
涕,snot
朽,decayed
聘,employ
姊,elder sister
亏,loss
污,filthy
夸,brag
垮,collapse
挎,carry on the arm
鳄,crocodile
愕,stunned
躺,lie down
躲,dodge
躬,stoop
嗜,hanker
姥,maternal grandmother
拷,flog
屿,islet
暑,summer heat
睹,behold
署,add your John Hancock
薯,yam
赌,gamble
奢,extravagant
堵,stop up
煮,boil
诸,various
储,put in storage
屠,slaughter
棺,coffin
爹,dad
斧,axe
咬,bite
胶,gum
狡,sly
捉,catch
促,urge
趴,prostrate oneself
踏,trample
践,tread on
跃,leap
蹄,hoof
踩,step on
蹦,hop
跌,slump
踢,kick
踪,tracks
跨,straddle
喿,wood pulp
躁,impetuous
噪,chirping
澡,bath
藻,algae
燥,parched
操,exercise
猾,cunning
髓,marrow
陌,footpath
隙,rift
陡,steep
陪,accompany
障,barrier
隧,tunnel
陋,undesirable
隐,hidden
陕,Shaanxi Province
夌,Minuteclods
陵,mausoleum
棱,edge
菱,water caltrop
凌,bully
鬲,cauldron
融,melt
隔,separate
窃,pilfer
挖,dig
帘,drapes
窥,peep
穷,poor
窄,strait
榨,extract
窟,den
窘,poverty-stricken
窜,scurry
腔,body cavity
呙,esophagus
窝,hollow
涡,whirlpool
锅,pot
祸,misfortune
蜗,snail
宾,visitor
滨,water’s edge
绷,stretch taut
纤,fiber
绰,ample
绍,acquaint
纱,yarn
络,web
绸,silk fabric
绒,down
绕,go around
绽,split at the seams
绵,continuous
缔,conclude
纺,spin
缠,wind around
绘,paint
纷,disorderly
绣,embroidery
缕,in detail
缩,shrink
纳,let in
综,sum up
绅,gentry
绪,inception
绞,wring
爰,migrating ducks
缓,unhurried
暖,warm
援,provide assistance
肙,canker sore
绢,tough silk
捐,contribute
敫,homing pigeon
缴,shell out
邀,request the presence of
缆,cable
哟,Oh!
颈,neck
茎,plant stem
径,trail
劲,powerful
幼,young
溪,creek
幽,secluded
玄,mysterious
弦,bowstring
畜,livestock
蓄,save up
兹,Mona Lisa
磁,magnetism
滋,nourish
慈,kindhearted
累,tired
螺,spiral shell
紫,purple
繁,numerous
絮,long-winded
囧索－糸,chapel
索,large rope
孛,Sunday school
脖,head-hinge
勃,vibrant
卸,unload
御,withstand
卵,nest eggs
孚,fledglings
孵,hatch
乳,breast
俘,captive
榴,pomegranate
爷,grandfather
疑,doubt
凝,congeal
玲,exquisite
铃,small bell
怜,pity
岭,mountain range
伶,actor
涌,gush
桶,bucket
诵,read aloud
范,model
扼,clutch
卷,exam paper
倦,worn out
圈,circle
夗,nameplate
怨,resentment
宛,winding
腕,wrist
婉,tactful
碗,bowl
苍,ash-colored
抢,rob
诡,deceitful
跪,kneel
囧舆－车,zipper
舆,popular
酌,pour wine
酬,reward
酷,brutal
醇,mellow wine
醋,vinegar
囧酱－酉,chocolate turtle
酱,thick sauce
奖,award
浆,thick liquid
桨,oar
蒋,Jiang
卒,foot soldiers
醉,drunk
碎,shattered
翠,emerald green
粹,unmixed
夋,streetwalker
酸,sour
梭,shuttle
峻,lofty
俊,handsome
奠,found
蹲,squat
逗,tease
橱,closet
嘻,giggling
嘉,commend
盟,alliance
孟,Mencius
猛,fierce
盐,salt
盔,helmet
盒,small box
盛,flourishing
盏,small cup
盗,master thief
磕,collide with
盈,replete
盆,basin
蕴,amass
囧鉴－金,bullfighter
鉴,probe
滥,indiscriminate
囧尴－监,Frankenbowser
尴,abashed
尬,embarrassed
冘,Frankenbowser Rex
沈,Shen
枕,pillow
耽,indulge in
衅,quarrel
垦,reclaim
狠,ruthless
恳,wholeheartedly
艰,arduous
爵,upper crust
嚼,chew
卿,minister
恨,hate
朗,lucent
狼,wolf
粮,provisions
酿,brew
饥,starving
饶,spare
饰,ornaments
饮,beverage
蚀,eat away
饱,sated
馒,bread
饼,cookie
饺,dumpling
饿,hungry
溉,irrigate
慨,incensed
苹,apple
萍,duckweed
秤,scale
淆,confuse
艾,Chinese mugwort
哎,Good grief!
赵,Zhao
攀,climb
刹,brake
枫,maple
钢,steel
岗,hillock
纲,guidelines
屯,stockpile
吨,ton
顿,pause
纯,unadulterated
齿,teeth
龄,length of service
汹,turbulent
篱,fence
仪,rite
辜,crime
辞,phraseology
辨,differentiate
辫,braid
臂,arm
劈,split
譬,analogy
僻,out-of-the-way
纠,entangle
咳,cough
嚷,cry out
镶,inlay
塞,stronghold
寨,stockade
晴,sunny
猜,guess
靖,pacify
债,debt
牲,domestic animal
隆,impressive
腥,fishy smell
猩,orangutan
醒,awaken
寿,longevity
畴,farmland
涛,large waves
祷,pray
筹,make arrangements
契,contract
拜,adore
夆,briar
锋,cutting edge
逢,chance upon
缝,sew
蓬,disheveled
篷,awning
蜂,bee
峰,peak
瞎,visionless
辖,administer
豁,breach
韩,Korea
违,disobey
纬,latitude
奏,play an instrument
凑,gather together
秦,Qin
蠢,foolish
囧泽－氵,scarecrow
泽,swamp
译,translate
择,select
捧,carry in both hands
砖,brick
唾,saliva
吟,recite
贪,greedy
琴,stringed instrument
炼,refine
晒,bask
洒,spill
栖,perch
栗,chestnut
牺,sacrifice
潭,deep pool
覆,overturn
飘,flutter
献,donate
阔,broad
润,moisten
阁,cabinet
搁,put aside
闹,stir up trouble
阅,peruse
闷,stuffy
闭,close
闪,flash
阀,valve
闸,floodgate
阐,explicate
涧,ravine
菲,humble
辈,lifetime
悲,sad
徘,irresolute
喉,gullet
猴,monkey
肝,liver
刊,publication
奸,adultery
汗,sweat
杆,shaft
轩,veranda
罕,rarely
竿,pole
悍,bold
吁,plead
涂,smear
叙,recount
徐,slowly
斜,slanting
喇,flared horn
嗽,hack
赖,rely on
懒,lazy
嫩,tender
董,director
疗,cure
痰,phlegm
症,disease
疼,hurt
痒,itch
瘫,paralysis
疫,epidemic
癌,cancer
疲,fatigued
痴,idiotic
瘤,tumor
疮,sore
疾,rapid
瘾,addiction
痕,trace
汇,converge
框,rectangular frame
筐,rectangular basket
砸,smash
匠,artisan
匪,bandit
匿,keep out of sight
兜,pocket
巨,gigantic
柜,cupboard
渠,canal
拒,refuse
矩,square
距,distance
殴,hit
呕,vomit
躯,human body
昂,hold one’s head high
抑,curb
葵,large-flowered plants
囧登,stepladder
瞪,glare
凳,bench
澄,transparent
尞,pup tent
僚,coworker
拨,allocate
泼,splash
犮,seeing-eye chihuahua
拔,pull out
杉,fir tree
彬,well-mannered
衫,shirt
彰,manifest
膨,puffy
渗,seep
诊,diagnose
趁,take advantage of
翏,kiddie cocktail
寥,deserted
谬,wrong
铲,small shovel
萨,Samoa
刘,Liu
坟,tomb
纹,design
斋,abstain from food
斑,speck
剂,pharmaceutical
挤,squeeze
脊,backbone
函,letter
涵,culvert
映,reflect
殃,calamity
秧,youngling
焕,glowing
肥,plump
爬,crawl
疤,scar
甜,sugary
嵌,set
钳,pliers
媒,matchmaker
煤,coal
谋,scheme
棋,chess
欺,dupe
旗,flag
嘶,hoarse
撕,rip
囧甚,Hercules
堪,tolerate
勘,survey
遣,dispatch
谴,censure
囊,sack
溃,burst
宜,fitting
谊,friendship
租,rent
粗,coarse
阻,block
桑,mulberry tree
嗓,voicebox
叠,heap
锄,hoe
碰,bump
谱,musical score
壶,kettle
凿,bore a hole
湿,wet
哑,mute
晋,promote
哄,fool
洪,deluge
烘,warm by a fire
戴,have on
翼,wings
恭,respectful
拱,arch
撰,compose
粪,dung
殿,ceremonial hall
暴,violent
瀑,waterfall
爆,explode
拥,hug
佣,put to work
甩,fling
庸,mediocre
触,touch
蟹,crab
懈,lax
册,Vol.
删,delete
栅,palisade
珊,coral
遍,everywhere
偏,partial
抵,resist
氓,hoodlum
哺,breastfeed
浦,river mouth
蒲,cattail
薄,slight
铺,shop
捕,capture
敷,apply
膊,shoulder to arm
傅,mentor
缚,bind fast
簿,register
郁,depressed
郭,outer walls
廓,limitless
邓,Deng
鄙,despicable
耶,Jerusalem
邮,post
邦,nation
绑,truss
郊,outskirts
邻,neighbor
廊,hallway
缎,satin
刁,wily
叼,hold in the mouth
钙,calcium
殷,ardent
伺,attend to
饲,rear
舶,liner
舰,warship
航,navigate
舵,rudder
舱,ship’s cabin
艇,light boat
沿,along
铅,lead
狐,fox
瓣,petal
溢,brim over
隘,pass
霞,red sky
氨,ammonia
氧,oxygen
氛,atmosphere
氢,hydrogen
氯,chlorine
霸,tyrant
靴,boots
鞭,whip
鞠,bow respectfully
芽,sprout
讶,surprised
雅,polished
邪,wicked
悉,be informed
毯,blanket
毫,milli-
耒,Christmas tree
耗,consume
耕,till
籍,records
藉,in disorder
畏,be afraid of
喂,Hello...
胀,bloated
帐,tent
誉,reputation
剑,saber
敛,restrain
捡,pick up
俭,thrifty
签,sign
鹏,roc
鸣,twitter
鸿,swan
莺,oriole
鸽,pigeon
鹤,crane
鹊,magpie
鸥,gull
鹅,goose
鸦,raven
乌,crow
呜,zoom-zoom
捣,pound with a pestle
寓,residence
愚,pea-brained
偶,by chance
缸,vat
窑,kiln
雚,stork
罐,jar
灌,pour into
匋,canteen
陶,pottery
淘,wash in a container
掏,draw out
谣,rumor
冤,injustice
挽,tow
勉,strive
馋,gluttonous
橡,rubber tree
豫,pleased
码,numeral
驯,tame
玛,Matteo
驻,be stationed
骄,arrogant
驰,gallop
蚂,leech-hopper
驶,maneuver
骚,disturb
驾,drive
驴,donkey
腾,take flight
骡,mule
骤,trot
闯,rush
驱,drive away
驳,refute
骗,cheat
唬,bluff
虏,take captive
虐,despotic
滤,filter
舛,sunglasses
瞬,instant
粦,jack-o’-lantern
麟,Chinese unicorn
磷,phosphorous
唇,lips
辱,disgrace
震,quake
振,vibrate
郑,Zheng
掷,hurl
魄,vigor
槐,scholar tree
魅,enchant
瑰,marvelous
魂,soul
愧,ashamed
魁,leader
胧,hazy
垄,raised path between fields
宠,dote on
庞,huge
拢,draw near
聋,deaf
笼,cage
挪,transfer
辆,vehicles
瞒,dissemble
龟,tortoise
黾,electrical outlet
蝇,flies
绳,rope
淹,inundate
俺,we (exclusive)
钮,push button
羞,shy
纽,New York
赫,illustrious
奕,radiating vitality
迹,indication
蛮,barbaric
啤,beer
脾,spleen
碑,stele
嘱,admonish
肆,IV
臼,mortar
插,insert
毁,ruin
鼠,mouse
舅,mother’s brother
舀,scoop
滔,surging
稻,unhulled rice
蹈,tread
叟,cake mixer
嫂,elder brother’s wife
搜,search
瘦,emaciated
艘,vessels
臽,pothole
焰,flame
馅,filling
陷,get stuck
㸚,stitching
爽,frank
缀,embellish
囟,Farmer’s Almanac
傻,thick-headed
