一,one
洽,in agreement
旺,thriving
碧,green jade
琐,trivial
汪,tearful
枉,crooked
珠,pearl
噩,shocking
栓,plug
柱,pillar
钻,drill
钞,paper money
锁,lock
销,put up for sale
锣,gong
迫,compel
迁,resituate
逼,press
辽,far away
逻,make the rounds
逞,flaunt
轨,rails
轧,flatten
辐,spokes
链,chain
煎,saute
喻,figure of speech
榆,elm
胳,upper limb
厦,skyscraper
牵,lead along
浑,muddled
晕,dizzy
炕,brick-heated bed
囧高,Eiffel Tower
膏,ointment
淳,honest
亨,go smoothly
哼,hum
鲸,whale
壳,shell
洁,spotless
枚,small objects
牧,herd
玫,rose
敦,candid
墩,mound
詹,snitch
瞻,look upward
谓,meaning
询,inquire
讥,deride
罚,penalize
订,place an order
谅,forgive
囧若,Disneyland
诺,promise
卂,crochet needles
讯,interrogate
枼,family tree
谍,espionage
碟,saucer
贰,II
腻,sick and tired of
嘎,caw
域,domain
戚,kin
蔑,despise
喊,yell
溅,splatter
浇,sprinkle
涩,astringent
址,address
赴,go to
趟,trip
堤,dike
津,Tianjin
键,keyboard keys
婿,son-in-law
袜,socks
衰,decline
衷,innermost feelings
猿,ape
吊,dangle
币,currency
帕,handkerchief
帖,note
帆,sail
幅,width of cloth
锦,brocade
沛,copious
柿,persimmon
棘,thorn bushes
蕾,flower bud
尝,taste
坛,altar
枣,jujube
吞,gulp down
妖,bewitching
沃,fertile
袄,short Chinese-style coat
轿,sedan chair
垃,garbage
啼,weep aloud
蒂,fruit stem
顷,100 Chinese acres
匙,spoon
乖,well-behaved
乘,hitch a ride
剩,leftover
毕,complete
棍,club
谐,in accord
柴,firewood
沦,sink
敏,quick-witted
霉,mildew
迄,so far
坎,hump
炊,cook
钦,think highly of
剖,cut open
菩,bodhisattva
黯,tenebrous
赢,win
芒,mango
荒,wasteland
谎,lie
茫,boundless
坊,workshop
芳,aromatic
访,call on
淤,silt
熬,stew
囧旁,Magellan
膀,upper arm
磅,pound
榜,roster
锐,sharp
虹,rainbow
蝠,bat
浊,turbid
蝗,locust
蛙,frog
烛,candle
蚕,silkworm
胞,placenta
炮,cannon
袍,robe
雹,hail
豪,unrestrained
豖,hog-tied
啄,peck
琢,chisel
遂,satisfy
囧家,flophouse
嫁,marry
肠,intestines
杨,poplar
烫,scald
荡,licentious
姜,ginger
详,detailed
羡,envy
栏,railing
拦,impede
唯,solely
雀,sparrow
堆,pile
雕,sculpture
截,lop off
霍,all at once
雌,feminine
焦,apprehensive
瞧,lay eyes on
礁,reef
蕉,banana
翘,turn upward
塌,fall down
翰,writing brush
翟,headdress
耀,show off
戳,jab
囧因,dog kennel
咽,throat
姻,in-law
旷,expansive
矿,mine
庆,celebrate
嘛,(pause marker)
磨,grind
脏,dirty
赃,stolen goods
桩,stake
忠,loyal
恕,pardon
惑,be bewildered
愈,more and more
惠,favor
忌,shun
患,troubles
惹,provoke
恒,permanent
悟,realize
悼,mourn
惧,be frightened
慎,prudent
惰,indolent
恢,immense
惶,fearful
忆,recall
悄,noiseless
恍,all of a sudden
恰,just right
愉,overjoyed
怔,terror-stricken
怖,be scared of
慌,nervous
愣,dumbfounded
悦,delighted
憎,loathe
惟,thinking
悔,be sorry about
慕,admire
添,augment
媳,daughter-in-law
熄,put out
泌,secrete
瑟,Chinese harp
蜜,honey
囧我,miser
蛾,moth
扒,pick pockets
扣,button
拍,racquet
啪,clapping sound
扑,pounce on
拘,detain
损,damage
拓,pioneer
扛,carry over the shoulder
扎,prick
拇,thumb
捎,bring to
抄,copy
垫,pad
挚,earnest
捏,pinch
拧,tweak
抹,smear on
摸,grope
描,describe
挑,foment
扰,harass
搞,engage in
拴,tether
拾,tidy up
搭,put up
掠,pillage
拭,wipe away
挠,chafe
扯,yank
撞,bump into
摘,handpick
扬,publicize
搓,massage
捆,lash together
扩,enlarge
撼,joggle
挟,coerce
亶,Mr. Hyde
擅,act without authority
颤,tremble
戒,take precautions against
械,weapon
诫,warn
莽,rude
卉,haystack
奔,dash
贲,local-yokel chowder
喷,spurt
愤,indignation
材,stuff
荐,recommend
孕,pregnant
扔,throw away
携,take along
圾,trash
梗,stalk
叹,sigh
叉,fork
权,authority
寇,outlaw
敲,knock
轰,rumble
滩,beach
毅,resolute
肢,limb
妓,prostitute
歧,fork in the road
翅,fins
淑,graceful
椒,spice plant
盾,shield
贩,peddler
扳,tug
烁,luminous
觅,try to find
妥,appropriate
豹,leopard
貌,mien
睬,notice
允,consent
宏,magnificent
垒,baseball base
胎,fetus
怠,negligent
怡,cheerful
冶,smelt
抬,elevate
罢,cease
摆,put in order
丢,mislay
致,bring about
弃,forsake
撤,remove
硫,sulfur
琉,glaze
疏,sparse
蔬,veggies
勾,cross out
沟,ditch
钩,hook
崩,crumble
岩,rock
峭,precipitous
崎,rugged
崖,cliff
灿,brilliant
炭,charcoal
碳,carbon
岂,(rhetorical question)
凯,triumphant
峡,gorge
崔,Cui
摧,wreck
屰,mountain goat
逆,go against
溯,go upstream
塑,plastic
盼,await hopefully
颁,promulgate
芬,essence
扮,play the part of
岔,diverge
颂,extol
讼,litigate
滚,trundle
翁,elderly man
嗡,buzzing
裕,abundant
榕,banyan
熔,fuse
裳,raiment
掌,palm of the hand
撑,prop up
膛,chest
颇,quite
坡,slope
披,drape over the shoulders
歼,annihilate
殖,breed
殊,dissimilar
残,incomplete
咧,grin
裂,crack
毙,die a violent death
耿,dedicated
辑,edit
耻,shame
摄,take a photo
聪,smart
娶,take a wife
蔓,creeping vine
肤,skin
扶,lend a hand
潜,submerge
卧,for sleeping
爿,bunk beds
藏,hide
熙,splendid
勋,merit
劣,inferior
募,recruit
劝,advise
劫,plunder
抛,toss
胁,threaten
怒,anger
茄,eggplant
彻,thorough
征,solicit
惩,chasten
徒,follower
徊,undecided
役,service
循,comply with
彼,the other
衍,develop
衡,weight
衔,title
秃,bald
颓,decrepit
秒,seconds
稍,a little
稣,rise again
稿,draft
稠,dense
颖,clever
稼,crops
税,tax
稚,immature
菌,fungus
穗,ear of grain
秘,confidential
私,private
秩,order
锹,shovel
梨,pear
萎,wilt
黍,Rumpelbrella
黏,sticky
黎,host
桼,Baron von Rumpelbrella
膝,knees
漆,wall paint
锈,rust
眯,squint
糊,batter
粘,glue
奥,of great depth
澳,deep inlet
懊,remorseful
菊,chrysanthemum
渊,abyss
囧粱－米,decapitation
粱,fine millet
梁,roof beam
糙,rough
粒,grain
糕,cake
敝,shredder
